@Tomboulides I wanted Hilary Clinton to get the dem nomination before Pres. Obama was elected. So what does that tell you? #p2 #democrat,D
@Tomboulides let's be honest.  We all know that Palin is not competent enough to govern. #TCOT #p2 #democrat #gop,D
Death&Taxes Blog: Obama 3D Glasses. Seeing the bullshit in Washingto.. http://t.co/wyGLR4n #obama #du1 #xmas #p1 #democrat #progressive,D
"@yunglos Thanx 4 RT: How I helped raise over $250000 for Barack Obama http://ow.ly/3guYo #obama #fundraising #politics #president #democrat",D
Conservatives use fear and hate for votes.  Liberals use hope and change for progress.  #Republican #Democrat #TeaParty #P2,D
Conservatives backward thinkers. Liberals forward thinking. #P2 #TeaParty #Democrat #Republicans,D
"I'm a #liberal but wikileaks is dangerous and has to be stopped no matter what it takes to do so. #politics #democrat #republican",D
RT @HELLthInsurance: GOP:Practice what you preach! Give up your own health care! http://bit.ly/b5FKtb #health #reform #fair #democrat #Obama,D
Tell the GOP:Practice what you preach! Give up your own health care! http://bit.ly/b5FKtb #health #reform #fair #democrat #democracy  #Obama,D
Help me shut up the right wing & advance the Democratic agenda of making gov work for all! http://bit.ly/9oHIQ6 #topprog #p2 #democrat,D
Sarah Palin Doesn't Know The Difference Between North And South Korea!!! http://t.co/UBD203l #republican #democrat,D
@janieo I dont follow or engage with people who are #Obama & #Democrat bashers. Not worth the aggravation and doesn't change anyone's mind.,D
RT @mpapolitical What I?m Thankful for as a #Florida #Democrat http://bit.ly/h9I4ik #p2 #pfla #fdpideas #legfl #fldems #sayfie,D
And Jaclyn got me the George Bush Memoir I wanted to read.  I'm a #Democrat and I am interested to read this... http://yfrog.com/2mhnd0j,D
FYI my internet service when down yesterday!! Im still a #democrat  and I luv the #Cowboys @rolandsmartin @BunBTrillOG @carobrissett @romiek,D
My mom and Ted Kennedy. Grateful for Teddy and wish he had been here to help Obama. http://bit.ly/igYWdE  #Democrat,D
RT @DemocraticNewsS: How Democrats and Progressives Can Win: Solutions from George Lakoff http://goo.gl/fb/yhal6 #p2 #dems #tcot  #democrat #asin #georgelakoff,D
RT @BardOfEarth: @TheNewDeal Yeah you STUPID #republican tools of BIG MONEY read 20th Cent HISTORY and C how UNIONS gave MIDDLE CLASS better life. #tcot #P2,D
RT @BardOfEarth: @TheNewDeal Yeah you STUPID #republican tools of BIG MONEY read 20th Cent HISTORY and C how UNIONS gave MIDDLE CLASS better life. #tcot #P2,D
RT @BardOfEarth: @TheNewDeal Yeah you STUPID #republican tools of BIG MONEY read 20th Cent HISTORY and C how UNIONS gave MIDDLE CLASS better life. #tcot #P2,D
@TheNewDeal Yeah you STUPID #republican tools of BIG MONEY read 20th Cent HISTORY and C how UNIONS gave MIDDLE CLASS better life. #tcot #P2,D
"@Afthought tell that to the slaves your forefathers beat raped and murdered #TeaParty #conservative #liberal #Republican  #GOP",D
Obama Should Cut The Corporate Tax Rate http://bit.ly/iggAfX #politics #tax #business #obama #investment #democrat #republican #money #trade,D
Conservatives use fear and hate for votes.  Liberals use hope and change for progress.  #Republican #Democrat #TeaParty #P2,D
"I'm a #liberal but wikileaks is dangerous and has to be stopped no matter what it takes to do so. #politics #democrat #republican",D
@hbsurfcitycal U and the other #Palin worshippers just can't or WON'T see just how ignorant #Palin is?  comparing #Biden gaffes 2 palins plz,D
"@vercoutermanon The #Clintons also raise hundreds of millions ; #Biden is excellent too not to mention #Obama",D
"RT @mzagorski: Democrat Party is a CRIMINAL Anti-American Organization DEFRAUDING US taxpayer. LAIRS FASCISTS COMMIES THUG VERMIN. #democrat",R
"RT @mzagorski: Democrat Party is a CRIMINAL Anti-American Organization DEFRAUDING US taxpayer. LAIRS FASCISTS COMMIES THUG VERMIN. #democrat",R
"RT @mzagorski: Democrat Party is a CRIMINAL Anti-American Organization DEFRAUDING US taxpayer. LAIRS FASCISTS COMMIES THUG VERMIN. #democrat",R
"Democrat Party is a CRIMINAL Anti-American Organization DEFRAUDING US taxpayer. LAIRS FASCISTS COMMIES THUG VERMIN. #democrat",R
"New article on illegal immigration & Obummer: ""Another Bill of Rights?"" http://goo.gl/fb/3O1Bt #obama #illegalimmigrant #democrat #leftists",R
Obama Should Cut The Corporate Tax Rate http://bit.ly/iggAfX #politics #tax #business #obama #investment #democrat #republican #money #trade,R
"Anybody notice Obama's 'A"" team he picked when elected have all 'jumped the sinking ship' !? #democrat #congress #abc #cbs #nbc #npr #pbs",R
#tcot #politics #republican #teaparty #dems #liberals #obama #dreamact DREAM ACT Is Another Attempt By Dems To Push Amnesty Onto Taxpayers!,R
Four years of decline #nobama #conservative #teaparty #republican #tcot #ocra http://bit.ly/e6TmJA,R
"RT @mzagorski: Democrat Party is a CRIMINAL Anti-American Organization DEFRAUDING US taxpayer. LAIRS FASCISTS COMMIES THUG VERMIN. #democrat",R
"RT @mzagorski: Democrat Party is a CRIMINAL Anti-American Organization DEFRAUDING US taxpayer. LAIRS FASCISTS COMMIES THUG VERMIN. #democrat",R
"RT @mzagorski: Democrat Party is a CRIMINAL Anti-American Organization DEFRAUDING US taxpayer. LAIRS FASCISTS COMMIES THUG VERMIN. #democrat",R
"Democrat Party is a CRIMINAL Anti-American Organization DEFRAUDING US taxpayer. LAIRS FASCISTS COMMIES THUG VERMIN. #democrat"R
"New article on illegal immigration & Obummer: ""Another Bill of Rights?"" http://goo.gl/fb/3O1Bt #obama #illegalimmigrant #democrat #leftists",R
"Enough with #Palin leave her alone VP #Biden is a walking talking blunder ....  #overkill @SarahPalinUSA",R
RT @Cenepk10: Dennis Miller  says he thinks of #Biden as a #sockpuppet in a power tie !  Hahahahaha !,R
Dennis Miller  says he thinks of #Biden as a #sockpuppet in a power tie !  Hahahahaha !,R
College Democrats gonna sulk for the whole month! YES YOU CAN!,D
crazy isn't it to think that the democrats are about to lose massachusetts?,D
"@johnleemk @ rajanr social democrats were in power 4 20 yrs after 1988 i think but no matter next week election will see liberals in power",D
"@johnleemk social democrats were in power for 20 years after 1988 i think but no matter next week election will see liberals in power",D
"Whilst observing my Twitter fee I've noticed that the Democrats I follow keep Sarah Palin more relevant than needed than the Republicans do",D
"@C_Hedden i think that's what the democrats originally wanted to do but they've failed miserably at it.",R
"Despite my completely apathetic view I still don't think the Democrats - as of right now - have the votes to pass this thing.",R
Is it bad that I get so tired of the Republicans lying about Obama and the Democrats that I wish THEY were in power so theyd get the blame?,D
Republicans hate entitlements except the one where they are entitled to pass legislation and Democrats have to sit down and shut up.,D
Democrats are going to Rahm this bill down people's throat while Boehner and and Weiner duke it out on the House floor.,D
Democrats Are No Better http://bit.ly/c8cfpo If what Yves Smith explains in...,R
Democrats Are No Better http://bit.ly/c8cfpo If what Yves Smith explains in...,R
"What a mental midget. @michellemalkin is happy Specter's out. Guess what moron: Democrats are simply kicking out the Republican fakes.",R
Democrats Are No Better http://goo.gl/fb/eG5uk #business #capitalism #corruption #democraticparty #economics #fascism,R
@prfekrdumbrella It truly amazes me how the Democrats do not understand economics. And their ability to think logically is completely nill.,R
"@DAbitty the Democrats have had 9 years and the last 6 control of Congress to stop the tax cuts. The have done NOTHING to stop them. Why??",R
"Let me see if I have this correct. The Democrats are all poor have no job and no health insurance but Republicans do. Hmm. Wrong side Dems",R
....Possible 97 House seats could be lost.....Probable 50 will be lost. ...41% of  Democrats who voted Obama are now voting Republican.,R
"Have the Democrats finally woken up? Good lord I never thought I'd see the day. Hallelujah! #Maddow",D
Amuses me how it's one day before the election and the Democrats seem to be fired up for the first time. Little too late. #VOTE,R
Don't they realize this will alienate the Democrats who put them in office in the first place? I'm sure they're excited to vote now. #Maddow,R
R6 5 Reasons for Democrats to be Happy With Tuesday's Primary Results http://nxy.in/484b6,D
R4 5 Reasons for Democrats to be Happy With Tuesday's Primary Results http://nxy.in/484b6,D
R3 5 Reasons for Democrats to be Happy With Tuesday's Primary Results http://nxy.in/484b6,D
R1 5 Reasons for Democrats to be Happy With Tuesday's Primary Results http://nxy.in/484b6,D
R7 Democrats Turn G.O.P. Mantra on Its Head http://nxy.in/8cntu US Updates,D
R6 Democrats Turn G.O.P. Mantra on Its Head http://nxy.in/8cntu US Updates,D
R5 Democrats Turn G.O.P. Mantra on Its Head http://nxy.in/8cntu US Updates,D
R4 Democrats Turn G.O.P. Mantra on Its Head http://nxy.in/8cntu US Updates,D
R3 Democrats Turn G.O.P. Mantra on Its Head http://nxy.in/8cntu US Updates,D
R1 Democrats Turn G.O.P. Mantra on Its Head http://nxy.in/8cntu US Updates,D
R10 5 Reasons Democrats Should be Happy With the Primary Results http://nxy.in/asx4w,D
R8 5 Reasons Democrats Should be Happy With the Primary Results http://nxy.in/asx4w,D
R6 5 Reasons Democrats Should be Happy With the Primary Results http://nxy.in/asx4w,D
R1 5 Reasons Democrats Should be Happy With the Primary Results http://nxy.in/asx4w,D
Democrats have No strategy . . . none. By Dick Morris And Eileen McGann http://j.mp/bONb9g More Good News.,R
@barbarindian  do such articles prove that we should be in favor of Republicans (lesser evil) than Democrats in USA? @ZoomIndianMedia,R
@barbarindian do such articles prove that we should be in favor of Republicans (lesser evil) than Democrats in USA? @ZoomIndianMedia,R
@maxine4seen Good.... My disdain for democrats has grown more intense I think....,R
@FalconPiss911 Democrats center right? Wow! That's funny!,R
"@cdashiell For the sake of the argument ok. So what are democrats doing to make it better?  http://myloc.me/br4ez",R
@JusFact @liberalchik  Democrats present facts..republicans present rhetoric. #hcrsummit That's a fact!. GOP don't know what the truth is!,D
It's up to the Democrats on  November 2nd to save our Democracy. Why doesn't the T-party see Corp foreign & Domestic are buying our Freedom,D
Independents are the Real Main Stream Republicans & middle right Democrats and may very well be the next Grand Old Party competing to Dems!,D
Wake up sleeping Giants before you sleep through next election. Your vote counts more now than in 2008. Support your Country . VOTE Democrats,D
@CAFalk . Should be concerned that Democrats are sleeping and little is being done to wake them up in time to vote in November. WAKE UP DEMS!,D
When are the Democrats going to WAKE UP and follow through. If you voted for Obama in 08 then give him a chance & back him up now. VOTE NOW,D
When are the Democrats going to WAKE UP and follow through. If you voted for Obama in 08 then give him a chance & back him up now.. VOTE NOW,D
Protecting Rich & ignoring the middle class 'The Small People' is not progress but it seems 2 be working for the GOP. Wake up Democrats now,D
@PoliticalTicker  Are the Democrats going to get the word out about the pancaking of the GOP leadership or just stay silent 1ideaatatime.com,D
Democrats need to get motivated to vote in November. The 2008 election means nothing if they do not have 60+in Senate & majority in Congress,D
